ts,open,high,low,close,volume,SMA,Upper_Band,Lower_Band,Signal,Action
2026-07-28 09:55:00+00:00,1269.9,1272.0,1269.9,1271.8,193592,,,,0,-
2026-07-29 04:00:00+00:00,1276.6,1280.0,1276.2,1276.3,178858,,,,0,-
2026-07-29 04:05:00+00:00,1277.0,1277.8,1276.0,1277.2,604162,,,,0,-
2026-07-29 04:10:00+00:00,1277.4,1278.5,1275.7,1276.0,328636,,,,0,-
2026-07-29 04:15:00+00:00,1276.1,1277.2,1275.7,1276.0,390012,,,,0,-
2026-07-29 04:20:00+00:00,1275.7,1276.2,1275.0,1275.5,416983,,,,0,-
2026-07-29 04:25:00+00:00,1275.4,1275.5,1273.3,1273.5,369280,,,,0,-
2026-07-29 04:30:00+00:00,1273.6,1273.8,1272.4,1273.4,480502,,,,0,-
2026-07-29 04:35:00+00:00,1273.6,1274.0,1273.0,1273.7,279779,,,,0,-
2026-07-29 04:40:00+00:00,1273.6,1274.0,1272.2,1273.4,852617,,,,0,-
2026-07-29 04:45:00+00:00,1273.7,1275.0,1272.2,1272.5,326337,,,,0,-
2026-07-29 04:50:00+00:00,1272.5,1272.9,1272.2,1272.6,205454,,,,0,-
2026-07-29 04:55:00+00:00,1272.6,1272.9,1271.2,1271.3,202314,,,,0,-
2026-07-29 05:00:00+00:00,1271.3,1272.0,1271.0,1272.0,392633,,,,0,-
2026-07-29 05:05:00+00:00,1271.6,1272.4,1271.3,1271.5,162578,,,,0,-
2026-07-29 05:10:00+00:00,1271.6,1271.7,1271.0,1271.3,226304,,,,0,-
2026-07-29 05:15:00+00:00,1271.2,1271.4,1270.0,1270.2,215315,,,,0,-
2026-07-29 05:20:00+00:00,1270.2,1270.4,1269.1,1269.8,211233,,,,0,-
2026-07-29 05:25:00+00:00,1269.7,1271.5,1269.5,1270.4,213973,,,,0,-
2026-07-29 05:30:00+00:00,1270.4,1271.2,1269.7,1270.4,232025,1272.94,1277.4414149822144,1268.4385850177857,0,-
2026-07-29 05:35:00+00:00,1270.7,1270.7,1270.2,1270.4,116814,1272.8700000000001,1277.4880880071848,1268.2519119928154,0,-
2026-07-29 05:40:00+00:00,1270.4,1271.2,1269.7,1271.2,327368,1272.6150000000002,1276.9925864535032,1268.2374135464972,0,-
2026-07-29 05:45:00+00:00,1271.1,1271.2,1270.0,1270.2,242835,1272.265,1276.1955952408468,1268.3344047591534,0,-
2026-07-29 05:50:00+00:00,1270.3,1270.5,1269.6,1269.8,16396,1271.9550000000002,1275.6138609098864,1268.296139090114,0,-
