Exch,Exchange Segment,Symbol,Token,Instrument Type,Option Type,Strike Price,Instrument Name,Formatted Ins Name,Trading Symbol,Expiry Date,Lot Size,Tick Size
NFO,nse_fo,ANGELONE,35458,OPTSTK,CE,275,ANGEL ONE LIMITED,ANGELONE JUL 275 CE,ANGELONE28JUL26C275,2026-07-28,2500,0.05
NFO,nse_fo,ANGELONE,35459,OPTSTK,PE,275,ANGEL ONE LIMITED,ANGELONE JUL 275 PE,ANGELONE28JUL26P275,2026-07-28,2500,0.05
NFO,nse_fo,BSE,35639,OPTSTK,CE,3000,BSE LIMITED,BSE AUG 3000 CE,BSE25AUG26C3000,2026-08-25,200,0.05
NFO,nse_fo,BSE,35648,OPTSTK,PE,3000,BSE LIMITED,BSE AUG 3000 PE,BSE25AUG26P3000,2026-08-25,200,0.05
NFO,nse_fo,BSE,35649,OPTSTK,CE,3300,BSE LIMITED,BSE AUG 3300 CE,BSE25AUG26C3300,2026-08-25,200,0.05
NFO,nse_fo,BSE,35652,OPTSTK,PE,3300,BSE LIMITED,BSE AUG 3300 PE,BSE25AUG26P3300,2026-08-25,200,0.05
NFO,nse_fo,EXIDEIND,35686,OPTSTK,CE,455,EXIDE INDUSTRIES LTD,EXIDEIND JUL 455 CE,EXIDEIND28JUL26C455,2026-07-28,1800,0.05
NFO,nse_fo,EXIDEIND,35687,OPTSTK,PE,455,EXIDE INDUSTRIES LTD,EXIDEIND JUL 455 PE,EXIDEIND28JUL26P455,2026-07-28,1800,0.05
NFO,nse_fo,GODREJPROP,35738,OPTSTK,CE,2420,GODREJ PROPERTIES LTD,GODREJPROP JUL 2420 CE,GODREJPROP28JUL26C2420,2026-07-28,325,0.05
NFO,nse_fo,GODREJPROP,35739,OPTSTK,PE,2420,GODREJ PROPERTIES LTD,GODREJPROP JUL 2420 PE,GODREJPROP28JUL26P2420,2026-07-28,325,0.05
NFO,nse_fo,GODREJPROP,35748,OPTSTK,CE,2420,GODREJ PROPERTIES LTD,GODREJPROP AUG 2420 CE,GODREJPROP25AUG26C2420,2026-08-25,325,0.05
NFO,nse_fo,GODREJPROP,35749,OPTSTK,PE,2420,GODREJ PROPERTIES LTD,GODREJPROP AUG 2420 PE,GODREJPROP25AUG26P2420,2026-08-25,325,0.05
NFO,nse_fo,GODREJPROP,35845,OPTSTK,CE,2360,GODREJ PROPERTIES LTD,GODREJPROP JUL 2360 CE,GODREJPROP28JUL26C2360,2026-07-28,325,0.05
NFO,nse_fo,GODREJPROP,35846,OPTSTK,PE,2360,GODREJ PROPERTIES LTD,GODREJPROP JUL 2360 PE,GODREJPROP28JUL26P2360,2026-07-28,325,0.05
NFO,nse_fo,ETERNAL,35901,OPTSTK,CE,315,ETERNAL LIMITED,ETERNAL AUG 315 CE,ETERNAL25AUG26C315,2026-08-25,2425,0.05
NFO,nse_fo,ETERNAL,35919,OPTSTK,PE,315,ETERNAL LIMITED,ETERNAL AUG 315 PE,ETERNAL25AUG26P315,2026-08-25,2425,0.05
NFO,nse_fo,INDUSINDBK,36005,OPTSTK,CE,1140,INDUSIND BANK LIMITED,INDUSINDBK JUL 1140 CE,INDUSINDBK28JUL26C1140,2026-07-28,700,0.05
NFO,nse_fo,INDUSINDBK,36008,OPTSTK,PE,1140,INDUSIND BANK LIMITED,INDUSINDBK JUL 1140 PE,INDUSINDBK28JUL26P1140,2026-07-28,700,0.05
NFO,nse_fo,INOXWIND,36034,OPTSTK,CE,78,INOX WIND LIMITED,INOXWIND JUL 78 CE,INOXWIND28JUL26C78,2026-07-28,6400,0.01
NFO,nse_fo,INOXWIND,36035,OPTSTK,PE,78,INOX WIND LIMITED,INOXWIND JUL 78 PE,INOXWIND28JUL26P78,2026-07-28,6400,0.01
NFO,nse_fo,LODHA,36057,OPTSTK,CE,1300,LODHA DEVELOPERS LIMITED,LODHA AUG 1300 CE,LODHA25AUG26C1300,2026-08-25,625,0.05
NFO,nse_fo,LODHA,36058,OPTSTK,PE,1300,LODHA DEVELOPERS LIMITED,LODHA AUG 1300 PE,LODHA25AUG26P1300,2026-08-25,625,0.05
NFO,nse_fo,GMRAIRPORT,36060,OPTSTK,CE,125,GMR AIRPORTS LIMITED,GMRAIRPORT JUL 125 CE,GMRAIRPORT28JUL26C125,2026-07-28,6975,0.01
NFO,nse_fo,GMRAIRPORT,36061,OPTSTK,PE,125,GMR AIRPORTS LIMITED,GMRAIRPORT JUL 125 PE,GMRAIRPORT28JUL26P125,2026-07-28,6975,0.01
NFO,nse_fo,GMRAIRPORT,36064,OPTSTK,CE,122,GMR AIRPORTS LIMITED,GMRAIRPORT AUG 122 CE,GMRAIRPORT25AUG26C122,2026-08-25,6975,0.01
NFO,nse_fo,GMRAIRPORT,36065,OPTSTK,PE,122,GMR AIRPORTS LIMITED,GMRAIRPORT AUG 122 PE,GMRAIRPORT25AUG26P122,2026-08-25,6975,0.01
NFO,nse_fo,LODHA,36069,OPTSTK,CE,1360,LODHA DEVELOPERS LIMITED,LODHA AUG 1360 CE,LODHA25AUG26C1360,2026-08-25,625,0.05
NFO,nse_fo,LODHA,36071,OPTSTK,PE,1360,LODHA DEVELOPERS LIMITED,LODHA AUG 1360 PE,LODHA25AUG26P1360,2026-08-25,625,0.05
NFO,nse_fo,GODREJPROP,36081,OPTSTK,CE,2260,GODREJ PROPERTIES LTD,GODREJPROP JUL 2260 CE,GODREJPROP28JUL26C2260,2026-07-28,325,0.05
NFO,nse_fo,GODREJPROP,36088,OPTSTK,PE,2260,GODREJ PROPERTIES LTD,GODREJPROP JUL 2260 PE,GODREJPROP28JUL26P2260,2026-07-28,325,0.05
NFO,nse_fo,ASTRAL,36099,OPTSTK,CE,1080,ASTRAL LIMITED,ASTRAL AUG 1080 CE,ASTRAL25AUG26C1080,2026-08-25,425,0.05
NFO,nse_fo,GODREJPROP,36101,OPTSTK,CE,2280,GODREJ PROPERTIES LTD,GODREJPROP AUG 2280 CE,GODREJPROP25AUG26C2280,2026-08-25,325,0.05
NFO,nse_fo,GODREJPROP,36102,OPTSTK,PE,2280,GODREJ PROPERTIES LTD,GODREJPROP AUG 2280 PE,GODREJPROP25AUG26P2280,2026-08-25,325,0.05
NFO,nse_fo,ASTRAL,36124,OPTSTK,PE,1080,ASTRAL LIMITED,ASTRAL AUG 1080 PE,ASTRAL25AUG26P1080,2026-08-25,425,0.05
NFO,nse_fo,LAURUSLABS,36186,OPTSTK,CE,1600,LAURUS LABS LIMITED,LAURUSLABS JUL 1600 CE,LAURUSLABS28JUL26C1600,2026-07-28,850,0.05
NFO,nse_fo,LAURUSLABS,36187,OPTSTK,PE,1600,LAURUS LABS LIMITED,LAURUSLABS JUL 1600 PE,LAURUSLABS28JUL26P1600,2026-07-28,850,0.05
NFO,nse_fo,ASHOKLEY,36189,OPTSTK,CE,115,ASHOK LEYLAND LTD,ASHOKLEY JUL 115 CE,ASHOKLEY28JUL26C115,2026-07-28,5000,0.01
NFO,nse_fo,ASHOKLEY,36190,OPTSTK,PE,115,ASHOK LEYLAND LTD,ASHOKLEY JUL 115 PE,ASHOKLEY28JUL26P115,2026-07-28,5000,0.01
NFO,nse_fo,LODHA,36281,OPTSTK,CE,1140,LODHA DEVELOPERS LIMITED,LODHA JUL 1140 CE,LODHA28JUL26C1140,2026-07-28,625,0.05
NFO,nse_fo,LODHA,36284,OPTSTK,PE,1140,LODHA DEVELOPERS LIMITED,LODHA JUL 1140 PE,LODHA28JUL26P1140,2026-07-28,625,0.05
NFO,nse_fo,LODHA,36296,OPTSTK,CE,1280,LODHA DEVELOPERS LIMITED,LODHA JUL 1280 CE,LODHA28JUL26C1280,2026-07-28,625,0.05
NFO,nse_fo,LODHA,36297,OPTSTK,PE,1280,LODHA DEVELOPERS LIMITED,LODHA JUL 1280 PE,LODHA28JUL26P1280,2026-07-28,625,0.05
NFO,nse_fo,IDFCFIRSTB,36309,OPTSTK,CE,89,IDFC FIRST BANK LIMITED,IDFCFIRSTB JUL 89 CE,IDFCFIRSTB28JUL26C89,2026-07-28,9275,0.01
NFO,nse_fo,LTM,36311,OPTSTK,CE,3100,LTM LIMITED,LTM JUL 3100 CE,LTM28JUL26C3100,2026-07-28,150,0.05
NFO,nse_fo,LTM,36312,OPTSTK,PE,3100,LTM LIMITED,LTM JUL 3100 PE,LTM28JUL26P3100,2026-07-28,150,0.05
NFO,nse_fo,IDFCFIRSTB,36313,OPTSTK,PE,89,IDFC FIRST BANK LIMITED,IDFCFIRSTB JUL 89 PE,IDFCFIRSTB28JUL26P89,2026-07-28,9275,0.01
NFO,nse_fo,IDFCFIRSTB,36318,OPTSTK,CE,90,IDFC FIRST BANK LIMITED,IDFCFIRSTB AUG 90 CE,IDFCFIRSTB25AUG26C90,2026-08-25,9275,0.01
NFO,nse_fo,IDFCFIRSTB,36321,OPTSTK,PE,90,IDFC FIRST BANK LIMITED,IDFCFIRSTB AUG 90 PE,IDFCFIRSTB25AUG26P90,2026-08-25,9275,0.01
NFO,nse_fo,MANAPPURAM,36347,OPTSTK,CE,390,MANAPPURAM FINANCE LTD,MANAPPURAM JUL 390 CE,MANAPPURAM28JUL26C390,2026-07-28,3000,0.05
NFO,nse_fo,MANAPPURAM,36348,OPTSTK,PE,390,MANAPPURAM FINANCE LTD,MANAPPURAM JUL 390 PE,MANAPPURAM28JUL26P390,2026-07-28,3000,0.05
NFO,nse_fo,MARUTI,36373,OPTSTK,CE,16600,MARUTI SUZUKI INDIA LTD.,MARUTI JUL 16600 CE,MARUTI28JUL26C16600,2026-07-28,50,0.05
NFO,nse_fo,MARUTI,36374,OPTSTK,PE,16600,MARUTI SUZUKI INDIA LTD.,MARUTI JUL 16600 PE,MARUTI28JUL26P16600,2026-07-28,50,0.05
NFO,nse_fo,BAJAJ-AUTO,36435,OPTSTK,CE,12200,BAJAJ AUTO LIMITED,BAJAJ-AUTO JUL 12200 CE,BAJAJ-AUTO28JUL26C12200,2026-07-28,75,0.05
NFO,nse_fo,BAJAJ-AUTO,36451,OPTSTK,PE,12200,BAJAJ AUTO LIMITED,BAJAJ-AUTO JUL 12200 PE,BAJAJ-AUTO28JUL26P12200,2026-07-28,75,0.05
NFO,nse_fo,NATIONALUM,36482,OPTSTK,CE,310,NATIONAL ALUMINIUM CO LTD,NATIONALUM JUL 310 CE,NATIONALUM28JUL26C310,2026-07-28,1875,0.05
NFO,nse_fo,NATIONALUM,36483,OPTSTK,PE,310,NATIONAL ALUMINIUM CO LTD,NATIONALUM JUL 310 PE,NATIONALUM28JUL26P310,2026-07-28,1875,0.05
NFO,nse_fo,BDL,36603,OPTSTK,CE,1000,BHARAT DYNAMICS LIMITED,BDL JUL 1000 CE,BDL28JUL26C1000,2026-07-28,425,0.05
NFO,nse_fo,BDL,36604,OPTSTK,PE,1000,BHARAT DYNAMICS LIMITED,BDL JUL 1000 PE,BDL28JUL26P1000,2026-07-28,425,0.05
NFO,nse_fo,PFC,36614,OPTSTK,CE,350,POWER FIN CORP LTD.,PFC JUL 350 CE,PFC28JUL26C350,2026-07-28,1300,0.05
NFO,nse_fo,PFC,36615,OPTSTK,PE,350,POWER FIN CORP LTD.,PFC JUL 350 PE,PFC28JUL26P350,2026-07-28,1300,0.05
NFO,nse_fo,PHOENIXLTD,36630,OPTSTK,CE,2280,THE PHOENIX MILLS LTD,PHOENIXLTD JUL 2280 CE,PHOENIXLTD28JUL26C2280,2026-07-28,350,0.05
NFO,nse_fo,PHOENIXLTD,36631,OPTSTK,PE,2280,THE PHOENIX MILLS LTD,PHOENIXLTD JUL 2280 PE,PHOENIXLTD28JUL26P2280,2026-07-28,350,0.05
NFO,nse_fo,011NSETEST,36687,FUTSTK,XX,-1,011NSETEST,011NSETEST NOV36 FUT,011NSETEST27NOV36F,2036-11-27,50,0.05
NFO,nse_fo,021NSETEST,36690,FUTSTK,XX,-1,021NSETEST,021NSETEST NOV36 FUT,021NSETEST27NOV36F,2036-11-27,50,0.05
NFO,nse_fo,031NSETEST,36691,FUTSTK,XX,-1,031NSETEST,031NSETEST NOV36 FUT,031NSETEST27NOV36F,2036-11-27,50,0.05
NFO,nse_fo,041NSETEST,36694,FUTSTK,XX,-1,041NSETEST,041NSETEST NOV36 FUT,041NSETEST27NOV36F,2036-11-27,50,0.05
NFO,nse_fo,051NSETEST,36697,FUTSTK,XX,-1,051NSETEST,051NSETEST NOV36 FUT,051NSETEST27NOV36F,2036-11-27,50,0.05
NFO,nse_fo,061NSETEST,36700,FUTSTK,XX,-1,061NSETEST,061NSETEST NOV36 FUT,061NSETEST27NOV36F,2036-11-27,50,0.05
NFO,nse_fo,071NSETEST,36702,FUTSTK,XX,-1,071NSETEST,071NSETEST NOV36 FUT,071NSETEST27NOV36F,2036-11-27,50,0.05
NFO,nse_fo,081NSETEST,36709,FUTSTK,XX,-1,081NSETEST,081NSETEST NOV36 FUT,081NSETEST27NOV36F,2036-11-27,50,0.05
NFO,nse_fo,091NSETEST,36713,FUTSTK,XX,-1,091NSETEST,091NSETEST NOV36 FUT,091NSETEST27NOV36F,2036-11-27,50,0.05
NFO,nse_fo,101NSETEST,36715,FUTSTK,XX,-1,101NSETEST,101NSETEST NOV36 FUT,101NSETEST27NOV36F,2036-11-27,50,0.05
NFO,nse_fo,111NSETEST,36716,FUTSTK,XX,-1,111NSETEST,111NSETEST NOV36 FUT,111NSETEST27NOV36F,2036-11-27,50,0.05
NFO,nse_fo,121NSETEST,36718,FUTSTK,XX,-1,121NSETEST,121NSETEST NOV36 FUT,121NSETEST27NOV36F,2036-11-27,50,0.05
NFO,nse_fo,131NSETEST,36720,FUTSTK,XX,-1,131NSETEST,131NSETEST NOV36 FUT,131NSETEST27NOV36F,2036-11-27,50,0.05
NFO,nse_fo,141NSETEST,36721,FUTSTK,XX,-1,141NSETEST,141NSETEST NOV36 FUT,141NSETEST27NOV36F,2036-11-27,50,0.05
NFO,nse_fo,151NSETEST,36724,FUTSTK,XX,-1,151NSETEST,151NSETEST NOV36 FUT,151NSETEST27NOV36F,2036-11-27,50,0.05
NFO,nse_fo,161NSETEST,36725,FUTSTK,XX,-1,161NSETEST,161NSETEST NOV36 FUT,161NSETEST27NOV36F,2036-11-27,50,0.05
NFO,nse_fo,BHEL,36744,OPTSTK,CE,425,BHEL,BHEL JUL 425 CE,BHEL28JUL26C425,2026-07-28,2625,0.05
NFO,nse_fo,BHEL,36747,OPTSTK,PE,425,BHEL,BHEL JUL 425 PE,BHEL28JUL26P425,2026-07-28,2625,0.05
NFO,nse_fo,BHEL,36750,OPTSTK,CE,470,BHEL,BHEL JUL 470 CE,BHEL28JUL26C470,2026-07-28,2625,0.05
NFO,nse_fo,PRESTIGE,36751,OPTSTK,CE,1800,PRESTIGE ESTATE LTD,PRESTIGE JUL 1800 CE,PRESTIGE28JUL26C1800,2026-07-28,450,0.05
NFO,nse_fo,PRESTIGE,36754,OPTSTK,PE,1800,PRESTIGE ESTATE LTD,PRESTIGE JUL 1800 PE,PRESTIGE28JUL26P1800,2026-07-28,450,0.05
NFO,nse_fo,BHEL,36770,OPTSTK,PE,470,BHEL,BHEL JUL 470 PE,BHEL28JUL26P470,2026-07-28,2625,0.05
NFO,nse_fo,RBLBANK,36816,OPTSTK,CE,430,RBL BANK LIMITED,RBLBANK JUL 430 CE,RBLBANK28JUL26C430,2026-07-28,3175,0.05
NFO,nse_fo,RBLBANK,36817,OPTSTK,PE,430,RBL BANK LIMITED,RBLBANK JUL 430 PE,RBLBANK28JUL26P430,2026-07-28,3175,0.05
